make,year,invygo_model,dubizzle_model,yango_model
exeed,2024,lx,lx,lx
exeed,2025,lx,lx,lx
jac,2024,j7,j7,j7
jac,2024,js4,js4,js4
kaiyi,2024,x3,x3,x3
kaiyi,2024,x3 pro,x3-pro,
kia,2023,pegas,pegas,pegas
kia,2022,seltos,seltos,seltos
kia,2022,sonet,sonet,sonet
mg,2025,3,mg3,3
mg,2025,5,mg5,5
mg,2024,gt,gt,gt
mitsubishi,2024,asx,asx,asx
mitsubishi,2024,attrage,attrage,attrage
mitsubishi,2024,xpander,xpander,xpander
nissan,2024,kicks,kicks,kicks
nissan,2024,sunny,sunny,sunny
suzuki,2023,ciaz,ciaz,ciaz
suzuki,2024,dzire,dzire,dzire
